Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 7.,Willingness to take risk,21,male,Kazakhstan
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,21,male,Kazakhstan
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,21,male,Kazakhstan
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,21,male,Kazakhstan
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,21,male,Kazakhstan
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,21,male,Kazakhstan
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,21,male,Kazakhstan
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,21,male,Kazakhstan
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,21,male,Kazakhstan
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,21,male,Kazakhstan
9732165d-1de1-4c6b-a4ce-e83ff879fc5c,e2a210c0e1a009d037c76a689f5785c29a8dd6b734703bcbd47712490582f62f,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,21,male,Kazakhstan
