Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
ccb71326-0afb-4c99-829f-d4272c641555,18985c843dadfeecde4f0b32318273902d001ab52120ce9446dd6d2569867b19,Imagine someone did you a favor that cost them 60 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,80 KES,Reciprocation 60,25,male,Kenya
ccb71326-0afb-4c99-829f-d4272c641555,18985c843dadfeecde4f0b32318273902d001ab52120ce9446dd6d2569867b19,Imagine someone did you a favor that cost them 60 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 80 KES to return the favor.,Reciprocation 60,25,male,Kenya
ccb71326-0afb-4c99-829f-d4272c641555,18985c843dadfeecde4f0b32318273902d001ab52120ce9446dd6d2569867b19,Imagine someone did you a favor that cost them 75 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,100 KES,Reciprocation 75,25,male,Kenya
ccb71326-0afb-4c99-829f-d4272c641555,18985c843dadfeecde4f0b32318273902d001ab52120ce9446dd6d2569867b19,Imagine someone did you a favor that cost them 90 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 100 KES to return the favor.,Reciprocation 90,25,male,Kenya
ccb71326-0afb-4c99-829f-d4272c641555,18985c843dadfeecde4f0b32318273902d001ab52120ce9446dd6d2569867b19,You unexpectedly received 3200.0 KES. How much of this amount would you donate to a good cause? Please answer with a single number.,800,Donation 3200.0,25,male,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 7.,Willingness to take risk,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 900 KES and the same 50-percent chance of receiving nothing, OR Option 2: 30 KES as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 30,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 900 KES and the same 50-percent chance of receiving nothing, OR Option 2: 60 KES as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 60,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 309.0 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 309.0,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 318.29999999999995 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 318.29999999999995,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 327.6 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 327.6,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 337.20000000000005 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 337.20000000000005,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 346.79999999999995 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 346.79999999999995,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 356.4 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 356.4,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 366.29999999999995 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 366.29999999999995,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 376.2 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 376.2,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 386.40000000000003 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 386.40000000000003,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,Imagine someone did you a favor that cost them 15 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,30 KES,Reciprocation 15,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,Imagine someone did you a favor that cost them 30 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 50 KES to return the favor.,Reciprocation 30,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,Imagine someone did you a favor that cost them 45 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 60 KES to return the favor.,Reciprocation 45,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,Imagine someone did you a favor that cost them 60 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,80 KES,Reciprocation 60,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,Imagine someone did you a favor that cost them 60 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,80 KES,Reciprocation 60,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,Imagine someone did you a favor that cost them 75 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,100 KES,Reciprocation 75,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,Imagine someone did you a favor that cost them 90 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,100 KES,Reciprocation 90,33,female,Kenya
b222beec-b380-43fb-88c6-00bd19d4e815,ad689eca4b53678c5b048a221e632420244c94055a75499f07f90628d33b5dc0,You unexpectedly received 3200.0 KES. How much of this amount would you donate to a good cause? Please answer with a single number.,800.0,Donation 3200.0,33,female,Kenya
