Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
cbc10fdd-792c-40d2-8039-a201457acf29,2c09f75823b75a7009fb6a21e94b29763897d1c30510e5c6c0e767b81833d356,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,61,male,Israel
cbc10fdd-792c-40d2-8039-a201457acf29,2c09f75823b75a7009fb6a21e94b29763897d1c30510e5c6c0e767b81833d356,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,61,male,Israel
cbc10fdd-792c-40d2-8039-a201457acf29,2c09f75823b75a7009fb6a21e94b29763897d1c30510e5c6c0e767b81833d356,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,61,male,Israel
cbc10fdd-792c-40d2-8039-a201457acf29,2c09f75823b75a7009fb6a21e94b29763897d1c30510e5c6c0e767b81833d356,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,61,male,Israel
cbc10fdd-792c-40d2-8039-a201457acf29,2c09f75823b75a7009fb6a21e94b29763897d1c30510e5c6c0e767b81833d356,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,61,male,Israel
cbc10fdd-792c-40d2-8039-a201457acf29,2c09f75823b75a7009fb6a21e94b29763897d1c30510e5c6c0e767b81833d356,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,61,male,Israel
cbc10fdd-792c-40d2-8039-a201457acf29,2c09f75823b75a7009fb6a21e94b29763897d1c30510e5c6c0e767b81833d356,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,61,male,Israel
cbc10fdd-792c-40d2-8039-a201457acf29,2c09f75823b75a7009fb6a21e94b29763897d1c30510e5c6c0e767b81833d356,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,61,male,Israel
cbc10fdd-792c-40d2-8039-a201457acf29,2c09f75823b75a7009fb6a21e94b29763897d1c30510e5c6c0e767b81833d356,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,61,male,Israel
cbc10fdd-792c-40d2-8039-a201457acf29,2c09f75823b75a7009fb6a21e94b29763897d1c30510e5c6c0e767b81833d356,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,61,male,Israel
