Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,6,Procrastinate,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 CNY and the same 50-percent chance of receiving nothing, OR Option 2: 10 CNY as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,What would you prefer? Option 1: A payment of 100 CNY today OR Option 2: 103.0 CNY in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 103.0,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,Imagine someone did you a favor that cost them 4 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,4,Reciprocation 4,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,Imagine someone did you a favor that cost them 8 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 8,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,Imagine someone did you a favor that cost them 12 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 12,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,Imagine someone did you a favor that cost them 16 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,20 CNY,Reciprocation 16,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,Imagine someone did you a favor that cost them 16 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,20 CNY,Reciprocation 16,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,Imagine someone did you a favor that cost them 20 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 20,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,Imagine someone did you a favor that cost them 24 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 24,66,male,China
640f78ae-b669-491b-a41b-4d65d0873bad,019fda705e9676c321e18eec76363a075d3534bc234b1562679a772ee1e8c62a,You unexpectedly received 800.0 CNY. How much of this amount would you donate to a good cause? Please answer with a single number.,200.0,Donation 800.0,66,male,China
