Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
c7fe91ff-01d0-4c56-99dc-31d1557ce6e8,b65fe6055e1faf5e7f59ca831fed72e57a523eec9a2e64e8cfbe57fc07687956,You unexpectedly received 1200.0000000000002 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,16,Donation 1200.0000000000002,28,female,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 50 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",4,Risk 50,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 150.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,14,Delay 150.1,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,Imagine someone did you a favor that cost them 5 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 5,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 10,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,Imagine someone did you a favor that cost them 15 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,133,Reciprocation 15,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 20,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 20,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,Imagine someone did you a favor that cost them 25 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 25,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,Imagine someone did you a favor that cost them 30 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 30,28,male,Finland
05041a0e-7787-4d3b-aaf4-a1cf7ed1514a,6f341353998c0506527cba03c314f91e3e4f7ab610f9874dbb3e7b809cb911db,You unexpectedly received 1200.0000000000002 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,25,Donation 1200.0000000000002,28,male,Finland
