Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to donate,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,6,Good at math,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 BDT and the same 50-percent chance of receiving nothing, OR Option 2: 40 BDT as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 40,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 BDT and the same 50-percent chance of receiving nothing, OR Option 2: 80 BDT as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 80,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 BDT and the same 50-percent chance of receiving nothing, OR Option 2: 120 BDT as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",2,Risk 120,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,What would you prefer? Option 1: A payment of 400 BDT today OR Option 2: 412.0 BDT in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 412.0,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,What would you prefer? Option 1: A payment of 400 BDT today OR Option 2: 424.4 BDT in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,1,Delay 424.4,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,Imagine someone did you a favor that cost them 20 BDT. How much would you be willing to spend to return the favor? Please answer with a single number.,30.0,Reciprocation 20,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,Imagine someone did you a favor that cost them 40 BDT. How much would you be willing to spend to return the favor? Please answer with a single number.,40.0,Reciprocation 40,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,Imagine someone did you a favor that cost them 60 BDT. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 60 BDT to return the favor.,Reciprocation 60,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,Imagine someone did you a favor that cost them 80 BDT. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 100 BDT to return the favor.,Reciprocation 80,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,Imagine someone did you a favor that cost them 80 BDT. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 80,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,Imagine someone did you a favor that cost them 100 BDT. How much would you be willing to spend to return the favor? Please answer with a single number.,150,Reciprocation 100,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,Imagine someone did you a favor that cost them 120 BDT. How much would you be willing to spend to return the favor? Please answer with a single number.,120 BDT,Reciprocation 120,55,male,Bangladesh
e9016b7e-05da-456b-82a4-7b0ad78a7c11,954b32fc6333641d59beb5526c106590828efeedfe2709f1d25fc4057d600666,You unexpectedly received 3600.0 BDT. How much of this amount would you donate to a good cause? Please answer with a single number.,1000,Donation 3600.0,55,male,Bangladesh
