Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 109.2 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 112.4 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 112.4,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 115.6 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 115.6,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 118.8 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,5,Delay 118.8,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,Imagine someone did you a favor that cost them 4 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,6 EUR,Reciprocation 4,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,Imagine someone did you a favor that cost them 8 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 10 EUR to return the favor.,Reciprocation 8,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15.0,Reciprocation 12,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,Imagine someone did you a favor that cost them 16 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 20 EUR to return the favor.,Reciprocation 16,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,Imagine someone did you a favor that cost them 16 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 20 EUR to return the favor.,Reciprocation 16,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20.0,Reciprocation 20,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,Imagine someone did you a favor that cost them 24 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,24.0,Reciprocation 24,75,female,Italy
938355da-bace-4cbd-941d-df05a9df32c5,a0b064b433347352ff7b752b26e261ccae6e8c45dc3ba3de2b040b674cf30fd7,You unexpectedly received 700.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,200,Donation 700.0,75,female,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I'd rate my willingness to take risks as a 6.,Willingness to take risk,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 5 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 15 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 15,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 20 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 20,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 25 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 25,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 30 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",5,Risk 30,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 103.0 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 109.2 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 112.4 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,3,Delay 112.4,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,Imagine someone did you a favor that cost them 4 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,5 EUR,Reciprocation 4,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,Imagine someone did you a favor that cost them 8 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,10.0,Reciprocation 8,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15.0,Reciprocation 12,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,Imagine someone did you a favor that cost them 16 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,16.0,Reciprocation 16,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,Imagine someone did you a favor that cost them 16 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20.0,Reciprocation 16,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,25.0,Reciprocation 20,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,Imagine someone did you a favor that cost them 24 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 30 EUR to return the favor.,Reciprocation 24,45,male,Italy
490d5e7d-a409-4be9-939e-4829b148a20b,0b86a8c23ebbc9dddf27862beccef7c4e820816f293e3dcddbf8127dc186c320,You unexpectedly received 700.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,100.0,Donation 700.0,45,male,Italy
