Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 5.,Willingness to take risk,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 PEN and the same 50-percent chance of receiving nothing, OR Option 2: 5 PEN as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 5,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,What would you prefer? Option 1: A payment of 30 PEN today OR Option 2: 30.900000000000002 PEN in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 30.900000000000002,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,What would you prefer? Option 1: A payment of 30 PEN today OR Option 2: 31.83 PEN in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 31.83,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,What would you prefer? Option 1: A payment of 30 PEN today OR Option 2: 32.760000000000005 PEN in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 32.760000000000005,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,What would you prefer? Option 1: A payment of 30 PEN today OR Option 2: 33.720000000000006 PEN in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 33.720000000000006,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,What would you prefer? Option 1: A payment of 30 PEN today OR Option 2: 34.68 PEN in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,4,Delay 34.68,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,Imagine someone did you a favor that cost them 2 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,2.0,Reciprocation 2,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,Imagine someone did you a favor that cost them 4 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,4.0,Reciprocation 4,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,Imagine someone did you a favor that cost them 6 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,6.0,Reciprocation 6,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,Imagine someone did you a favor that cost them 8 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,8.0,Reciprocation 8,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,Imagine someone did you a favor that cost them 8 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,10.0,Reciprocation 8,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,Imagine someone did you a favor that cost them 10 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,10.0,Reciprocation 10,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,Imagine someone did you a favor that cost them 12 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,12.0,Reciprocation 12,53,female,Peru
6e3bf463-5be2-48fa-ba22-189d1f493ddc,679c1c7253c2ac1fe9c29fdd18658b43fa56f05ed190706a0c3baaea38a872b0,You unexpectedly received 300.0 PEN. How much of this amount would you donate to a good cause? Please answer with a single number.,100.0,Donation 300.0,53,female,Peru
