Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 43.68000000000001 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 43.68000000000001,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 44.96000000000001 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 44.96000000000001,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 46.239999999999995 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 46.239999999999995,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 47.519999999999996 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 47.519999999999996,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,Imagine someone did you a favor that cost them 2 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,3,Reciprocation 2,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,Imagine someone did you a favor that cost them 4 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,4,Reciprocation 4,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,Imagine someone did you a favor that cost them 6 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,7,Reciprocation 6,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,Imagine someone did you a favor that cost them 8 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 8,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,Imagine someone did you a favor that cost them 8 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 8,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 10,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,46,female,Portugal
9a4789bc-2660-4f4d-94eb-863d7616e691,7a92fe6ef0a015e5ba0182a64efec0f5df1d877f1f496c5c37d7f1e5b51c4dc0,You unexpectedly received 400.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,100.0,Donation 400.0,46,female,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 5 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 5,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 41.2 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 41.2,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 42.44 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 42.44,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 43.68000000000001 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 43.68000000000001,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,Imagine someone did you a favor that cost them 2 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,4 EUR,Reciprocation 2,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,Imagine someone did you a favor that cost them 4 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,6 EUR,Reciprocation 4,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,Imagine someone did you a favor that cost them 6 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,6,Reciprocation 6,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,Imagine someone did you a favor that cost them 8 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 8,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,Imagine someone did you a favor that cost them 8 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 8,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 15 EUR to return the favor.,Reciprocation 10,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,80,male,Portugal
d40c3efe-4051-4223-b283-27400e59dc3e,3467232e3168f43603ab3e8b57959367335627854d71b46fd36ca51bc395bc12,You unexpectedly received 400.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,100,Donation 400.0,80,male,Portugal
