Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 750 PHP and the same 50-percent chance of receiving nothing, OR Option 2: 25 PHP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 25,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 750 PHP and the same 50-percent chance of receiving nothing, OR Option 2: 50 PHP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 50,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 750 PHP and the same 50-percent chance of receiving nothing, OR Option 2: 75 PHP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 75,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 750 PHP and the same 50-percent chance of receiving nothing, OR Option 2: 100 PHP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 100,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 206.0 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 206.0,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 212.2 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 212.2,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 218.4 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 218.4,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 224.8 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 224.8,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 231.2 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 231.2,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 237.6 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 237.6,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 244.19999999999996 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 244.19999999999996,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 250.8 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 250.8,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 257.6 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 257.6,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 264.6 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 264.6,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 271.4 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 271.4,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 278.4 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 278.4,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 285.6 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 285.6,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 292.8 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 292.8,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 300.2 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 300.2,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,What would you prefer? Option 1: A payment of 200 PHP today OR Option 2: 307.6 PHP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 307.6,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,Imagine someone did you a favor that cost them 10 PHP. How much would you be willing to spend to return the favor? Please answer with a single number.,10 PHP,Reciprocation 10,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,Imagine someone did you a favor that cost them 20 PHP. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,Imagine someone did you a favor that cost them 30 PHP. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 50 PHP to return the favor.,Reciprocation 30,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,Imagine someone did you a favor that cost them 40 PHP. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 60 PHP to return the favor.,Reciprocation 40,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,Imagine someone did you a favor that cost them 40 PHP. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 50 PHP to return the favor.,Reciprocation 40,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,Imagine someone did you a favor that cost them 50 PHP. How much would you be willing to spend to return the favor? Please answer with a single number.,70,Reciprocation 50,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,Imagine someone did you a favor that cost them 60 PHP. How much would you be willing to spend to return the favor? Please answer with a single number.,70,Reciprocation 60,23,male,Philippines
95,71e6ecb34d1c762c1457c53400aa5d9c2fce838fb449f4d0562cc36ae54dc8b7,You unexpectedly received 2400.0 PHP. How much of this amount would you donate to a good cause? Please answer with a single number.,500,Donation 2400.0,23,male,Philippines
96,b801cdbbdc691da35b5eccdd73ee5539b11205e337b1ca3fbcb98acb2c41f80f,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,48,female,Philippines
96,b801cdbbdc691da35b5eccdd73ee5539b11205e337b1ca3fbcb98acb2c41f80f,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,48,female,Philippines
96,b801cdbbdc691da35b5eccdd73ee5539b11205e337b1ca3fbcb98acb2c41f80f,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,48,female,Philippines
96,b801cdbbdc691da35b5eccdd73ee5539b11205e337b1ca3fbcb98acb2c41f80f,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,48,female,Philippines
96,b801cdbbdc691da35b5eccdd73ee5539b11205e337b1ca3fbcb98acb2c41f80f,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,48,female,Philippines
96,b801cdbbdc691da35b5eccdd73ee5539b11205e337b1ca3fbcb98acb2c41f80f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,48,female,Philippines
