Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
56,6a6da6cdad54d968032e6a880aa00f832b3f546319da38c532d8d03af3787ca4,Imagine someone did you a favor that cost them 900 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600,Reciprocation 900,65,female,Hungary
56,6a6da6cdad54d968032e6a880aa00f832b3f546319da38c532d8d03af3787ca4,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600,Reciprocation 1200,65,female,Hungary
56,6a6da6cdad54d968032e6a880aa00f832b3f546319da38c532d8d03af3787ca4,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600 HUF,Reciprocation 1200,65,female,Hungary
56,6a6da6cdad54d968032e6a880aa00f832b3f546319da38c532d8d03af3787ca4,Imagine someone did you a favor that cost them 1500 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1000,Reciprocation 1500,65,female,Hungary
56,6a6da6cdad54d968032e6a880aa00f832b3f546319da38c532d8d03af3787ca4,Imagine someone did you a favor that cost them 1800 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1800,Reciprocation 1800,65,female,Hungary
56,6a6da6cdad54d968032e6a880aa00f832b3f546319da38c532d8d03af3787ca4,You unexpectedly received 60000.0 HUF. How much of this amount would you donate to a good cause? Please answer with a single number.,20000,Donation 60000.0,65,female,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 7.,Willingness to take risk,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 HUF and the same 50-percent chance of receiving nothing, OR Option 2: 600 HUF as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 600,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 HUF and the same 50-percent chance of receiving nothing, OR Option 2: 1200 HUF as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 1200,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6180.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 6180.0,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6370.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 6370.0,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,Imagine someone did you a favor that cost them 300 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,500 HUF,Reciprocation 300,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,Imagine someone did you a favor that cost them 600 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,300 HUF,Reciprocation 600,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,Imagine someone did you a favor that cost them 900 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,900,Reciprocation 900,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600 HUF,Reciprocation 1200,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600 HUF,Reciprocation 1200,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,Imagine someone did you a favor that cost them 1500 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1000,Reciprocation 1500,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,Imagine someone did you a favor that cost them 1800 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1800,Reciprocation 1800,27,male,Hungary
55,b3611c02467c24693b022c3f7ad40b2b7ecd0c4e77d6554605deeb4289e74511,You unexpectedly received 60000.0 HUF. How much of this amount would you donate to a good cause? Please answer with a single number.,20000.0,Donation 60000.0,27,male,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.","I would say I'm around a 4. While I understand the importance of taking some risks, especially in investments, I tend to prefer a more cautious approach given my age and experiences.",Willingness to take risk,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",800,Donate,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 HUF and the same 50-percent chance of receiving nothing, OR Option 2: 600 HUF as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 600,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6180.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 6180.0,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6370.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 6370.0,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 300 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,300,Reciprocation 300,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 600 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600,Reciprocation 600,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 900 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,500 HUF,Reciprocation 900,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1200,Reciprocation 1200,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600 HUF,Reciprocation 1200,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 1500 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1500,Reciprocation 1500,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 1800 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1800,Reciprocation 1800,79,female,Hungary
56,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,You unexpectedly received 60000.0 HUF. How much of this amount would you donate to a good cause? Please answer with a single number.,6000,Donation 60000.0,79,female,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 HUF and the same 50-percent chance of receiving nothing, OR Option 2: 600 HUF as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 600,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 HUF and the same 50-percent chance of receiving nothing, OR Option 2: 1200 HUF as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 1200,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6180.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 6180.0,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6370.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 6370.0,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6550.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 6550.0,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,Imagine someone did you a favor that cost them 300 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,300,Reciprocation 300,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,Imagine someone did you a favor that cost them 600 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600,Reciprocation 600,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,Imagine someone did you a favor that cost them 900 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,900,Reciprocation 900,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1200,Reciprocation 1200,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1200,Reciprocation 1200,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,Imagine someone did you a favor that cost them 1500 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1500,Reciprocation 1500,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,Imagine someone did you a favor that cost them 1800 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1800,Reciprocation 1800,28,male,Hungary
55,71d0c20b6340c58c2736636f23e28b8190d372c4dcd54933b5fc311909cae3fe,You unexpectedly received 60000.0 HUF. How much of this amount would you donate to a good cause? Please answer with a single number.,20000.0,Donation 60000.0,28,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks at a 4.,Willingness to take risk,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,6,Good at math,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",50,Present giving,69,male,Hungary
55,05713c6703955d16d487787ee960431be4e1e8af04dd80827f95adc98a6a5f3e,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",800,Donate,69,male,Hungary
