Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
126,7db4373e9b52d8f24a3a85c59508ed311e8b9446f0b40615c119c9c475841dd8,You unexpectedly received 6000.0 THB. How much of this amount would you donate to a good cause? Please answer with a single number.,2000.0,Donation 6000.0,34,female,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,6,Procrastinate,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 60 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 60,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 120 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 120,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 180 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 180,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 240 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 240,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 300 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 300,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 618.0 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 618.0,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 636.5999999999999 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 636.5999999999999,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 655.2 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 655.2,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 674.4000000000001 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 674.4000000000001,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,Imagine someone did you a favor that cost them 30 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,50,Reciprocation 30,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,Imagine someone did you a favor that cost them 60 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,80,Reciprocation 60,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,Imagine someone did you a favor that cost them 90 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,90,Reciprocation 90,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,Imagine someone did you a favor that cost them 120 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 150 THB to return the favor.,Reciprocation 120,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,Imagine someone did you a favor that cost them 120 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,120,Reciprocation 120,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,Imagine someone did you a favor that cost them 150 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,150,Reciprocation 150,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,Imagine someone did you a favor that cost them 180 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,180,Reciprocation 180,47,male,Thailand
125,c1ab2407563d4cb85887210cfc5f91261a0a1267d1df4ed5fe231cec79aedd6d,You unexpectedly received 6000.0 THB. How much of this amount would you donate to a good cause? Please answer with a single number.,1000.0,Donation 6000.0,47,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 60 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 60,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 120 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 120,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 618.0 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 618.0,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 636.5999999999999 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 636.5999999999999,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 655.2 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 655.2,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,Imagine someone did you a favor that cost them 30 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 30,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,Imagine someone did you a favor that cost them 60 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,60 THB,Reciprocation 60,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,Imagine someone did you a favor that cost them 90 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,90,Reciprocation 90,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,Imagine someone did you a favor that cost them 120 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,150,Reciprocation 120,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,Imagine someone did you a favor that cost them 120 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,120,Reciprocation 120,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,Imagine someone did you a favor that cost them 150 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,100 THB,Reciprocation 150,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,Imagine someone did you a favor that cost them 180 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 200 THB.,Reciprocation 180,67,male,Thailand
125,1d2828c221e87e52a4555a3f68ba676336156f9c03fca7575ddc0b6920e2c1a9,You unexpectedly received 6000.0 THB. How much of this amount would you donate to a good cause? Please answer with a single number.,2000.0,Donation 6000.0,67,male,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 60 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 60,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 120 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 120,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 180 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 180,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 618.0 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 618.0,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 636.5999999999999 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 636.5999999999999,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 655.2 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 655.2,26,female,Thailand
126,0364896e7fcd97c79321de6630495cc1f1d0e75b881c41b89c0ab94fd3e1da60,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 674.4000000000001 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 674.4000000000001,26,female,Thailand
