Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
ebc51a48-7689-463e-84df-218dff824fc9,f1ae984c95f39b80d7711cdb359d5bc8cfc7bc859c277bcc8004240c8b72491f,Imagine someone did you a favor that cost them 8 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 8,22,female,Morocco
ebc51a48-7689-463e-84df-218dff824fc9,f1ae984c95f39b80d7711cdb359d5bc8cfc7bc859c277bcc8004240c8b72491f,Imagine someone did you a favor that cost them 12 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 12,22,female,Morocco
ebc51a48-7689-463e-84df-218dff824fc9,f1ae984c95f39b80d7711cdb359d5bc8cfc7bc859c277bcc8004240c8b72491f,Imagine someone did you a favor that cost them 16 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 16,22,female,Morocco
ebc51a48-7689-463e-84df-218dff824fc9,f1ae984c95f39b80d7711cdb359d5bc8cfc7bc859c277bcc8004240c8b72491f,Imagine someone did you a favor that cost them 16 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 16,22,female,Morocco
ebc51a48-7689-463e-84df-218dff824fc9,f1ae984c95f39b80d7711cdb359d5bc8cfc7bc859c277bcc8004240c8b72491f,Imagine someone did you a favor that cost them 20 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 20,22,female,Morocco
ebc51a48-7689-463e-84df-218dff824fc9,f1ae984c95f39b80d7711cdb359d5bc8cfc7bc859c277bcc8004240c8b72491f,Imagine someone did you a favor that cost them 24 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 24,22,female,Morocco
ebc51a48-7689-463e-84df-218dff824fc9,f1ae984c95f39b80d7711cdb359d5bc8cfc7bc859c277bcc8004240c8b72491f,You unexpectedly received 800.0 MAD. How much of this amount would you donate to a good cause? Please answer with a single number.,25.0,Donation 800.0,22,female,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",4,Willingness to take risk,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 MAD and the same 50-percent chance of receiving nothing, OR Option 2: 10 MAD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 10,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,What would you prefer? Option 1: A payment of 100 MAD today OR Option 2: 106.1 MAD in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,1,Delay 106.1,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,Imagine someone did you a favor that cost them 4 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 4,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,Imagine someone did you a favor that cost them 8 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 8,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,Imagine someone did you a favor that cost them 12 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 12,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,Imagine someone did you a favor that cost them 16 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 16,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,Imagine someone did you a favor that cost them 16 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 16,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,Imagine someone did you a favor that cost them 20 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 20,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,Imagine someone did you a favor that cost them 24 MAD. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 24,77,male,Morocco
910023ee-e052-44dd-b825-f0fb65aba52f,eb0baae7f27873c58704b41b030175e232d12553bfff3a9f51f9d06093910c42,You unexpectedly received 800.0 MAD. How much of this amount would you donate to a good cause? Please answer with a single number.,50.0,Donation 800.0,77,male,Morocco
