Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 20 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",1,Risk 20,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 122.09999999999998 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,6,Delay 122.09999999999998,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,Imagine someone did you a favor that cost them 5 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,200.0,Reciprocation 5,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,200.0,Reciprocation 10,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,Imagine someone did you a favor that cost them 15 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 15,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 20,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 20,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,Imagine someone did you a favor that cost them 25 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 25,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,Imagine someone did you a favor that cost them 30 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 30,63,male,Netherlands
c932d0aa-13b8-4fa1-ab3b-53ff51ff3bdb,e76edb8af24356e20063074cc4bf349ceac96804f2a408f0e3d4c5821f8ff73b,You unexpectedly received 1200.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,41.66666666666667,Donation 1200.0,63,male,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",6,Willingness to take risk,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 20 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",1,Risk 20,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,1,Delay 106.1,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,Imagine someone did you a favor that cost them 5 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,200.0,Reciprocation 5,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 10,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,Imagine someone did you a favor that cost them 15 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 15,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 20,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 20,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,Imagine someone did you a favor that cost them 25 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,120.0,Reciprocation 25,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,Imagine someone did you a favor that cost them 30 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 30,30,female,Netherlands
b3ba1042-7812-43ad-b246-0a0a71bec104,599c1bfea4aee2d1d17a4446070522327751be725e58abe5e80f95dde80b7b59,You unexpectedly received 1200.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,41.66666666666667,Donation 1200.0,30,female,Netherlands
