Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",800,Donate,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 120000 IDR and the same 50-percent chance of receiving nothing, OR Option 2: 4000 IDR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 4000,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,What would you prefer? Option 1: A payment of 40000 IDR today OR Option 2: 46200.0 IDR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,4,Delay 46200.0,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,Imagine someone did you a favor that cost them 2000 IDR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 2000,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,Imagine someone did you a favor that cost them 4000 IDR. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 4000,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,Imagine someone did you a favor that cost them 6000 IDR. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 6000,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,Imagine someone did you a favor that cost them 8000 IDR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 8000,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,Imagine someone did you a favor that cost them 8000 IDR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 8000,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,Imagine someone did you a favor that cost them 10000 IDR. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 10000,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,Imagine someone did you a favor that cost them 12000 IDR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 12000,42,male,Indonesia
785fe6a6-720e-48a5-8a9b-9821c2b983d0,f38317d06415fa0e82c8f60aaff020de874dcc8d6da694060a8434840c48de00,You unexpectedly received 400000.0 IDR. How much of this amount would you donate to a good cause? Please answer with a single number.,25.0,Donation 400000.0,42,male,Indonesia
