Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to donate,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 UGX and the same 50-percent chance of receiving nothing, OR Option 2: 2400 UGX as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",3,Risk 2400,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,What would you prefer? Option 1: A payment of 6000 UGX today OR Option 2: 6940.0 UGX in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,4,Delay 6940.0,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,Imagine someone did you a favor that cost them 300 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 300,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,Imagine someone did you a favor that cost them 600 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 600,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,Imagine someone did you a favor that cost them 900 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,77.77777777777779,Reciprocation 900,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,Imagine someone did you a favor that cost them 1200 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 1200,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,Imagine someone did you a favor that cost them 1200 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,83.33333333333334,Reciprocation 1200,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,Imagine someone did you a favor that cost them 1500 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 1500,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,Imagine someone did you a favor that cost them 1800 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 1800,40,male,Uganda
076e7d38-17e5-4a74-beaa-4430a2896480,abbde158a92acf7892adb110375d352ba69415eaff7a1f0c334e1bca598286ee,You unexpectedly received 60000.0 UGX. How much of this amount would you donate to a good cause? Please answer with a single number.,16.666666666666664,Donation 60000.0,40,male,Uganda
