Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 30 GHS and the same 50-percent chance of receiving nothing, OR Option 2: 1 GHS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 1,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,What would you prefer? Option 1: A payment of 10 GHS today OR Option 2: 11.559999999999999 GHS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,4,Delay 11.559999999999999,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,Imagine someone did you a favor that cost them 1 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,500.0,Reciprocation 1,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,Imagine someone did you a favor that cost them 2 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 2,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,Imagine someone did you a favor that cost them 3 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 3,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,Imagine someone did you a favor that cost them 4 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 4,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,Imagine someone did you a favor that cost them 4 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,200.0,Reciprocation 4,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,Imagine someone did you a favor that cost them 5 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,200.0,Reciprocation 5,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,Imagine someone did you a favor that cost them 6 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,166.66666666666669,Reciprocation 6,36,male,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,You unexpectedly received 60.0 GHS. How much of this amount would you donate to a good cause? Please answer with a single number.,33.33333333333333,Donation 60.0,36,male,Ghana
