Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
ee3d6d79-3eaf-41fd-8484-96edc5865908,4a6625197fa45eba47ba28758a6c4b4f3a382b945aade09b138788c35992d6e1,Imagine someone did you a favor that cost them 2800 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,107.14285714285714,Reciprocation 2800,39,female,Japan
ee3d6d79-3eaf-41fd-8484-96edc5865908,4a6625197fa45eba47ba28758a6c4b4f3a382b945aade09b138788c35992d6e1,Imagine someone did you a favor that cost them 2800 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,107.14285714285714,Reciprocation 2800,39,female,Japan
ee3d6d79-3eaf-41fd-8484-96edc5865908,4a6625197fa45eba47ba28758a6c4b4f3a382b945aade09b138788c35992d6e1,Imagine someone did you a favor that cost them 3500 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,142.85714285714286,Reciprocation 3500,39,female,Japan
ee3d6d79-3eaf-41fd-8484-96edc5865908,4a6625197fa45eba47ba28758a6c4b4f3a382b945aade09b138788c35992d6e1,Imagine someone did you a favor that cost them 4200 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,71.42857142857143,Reciprocation 4200,39,female,Japan
ee3d6d79-3eaf-41fd-8484-96edc5865908,4a6625197fa45eba47ba28758a6c4b4f3a382b945aade09b138788c35992d6e1,You unexpectedly received 140000.0 JPY. How much of this amount would you donate to a good cause? Please answer with a single number.,20.0,Donation 140000.0,39,female,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 30000 JPY and the same 50-percent chance of receiving nothing, OR Option 2: 1000 JPY as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 1000,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,What would you prefer? Option 1: A payment of 14000 JPY today OR Option 2: 15300.0 JPY in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,2,Delay 15300.0,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,Imagine someone did you a favor that cost them 700 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 700,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,Imagine someone did you a favor that cost them 1400 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,50.0,Reciprocation 1400,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,Imagine someone did you a favor that cost them 2100 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 2100,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,Imagine someone did you a favor that cost them 2800 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 2800,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,Imagine someone did you a favor that cost them 2800 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,107.14285714285714,Reciprocation 2800,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,Imagine someone did you a favor that cost them 3500 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,142.85714285714286,Reciprocation 3500,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,Imagine someone did you a favor that cost them 4200 JPY. How much would you be willing to spend to return the favor? Please answer with a single number.,142.85714285714286,Reciprocation 4200,26,male,Japan
c68df113-b935-4a2c-bbd7-4f206c380c70,807c09ce5a4e38c6f6ba0914b5a7d6ecb955772e8b915f7705bb0187b481cac6,You unexpectedly received 140000.0 JPY. How much of this amount would you donate to a good cause? Please answer with a single number.,35.714285714285715,Donation 140000.0,26,male,Japan
