Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 RON and the same 50-percent chance of receiving nothing, OR Option 2: 5 RON as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 RON and the same 50-percent chance of receiving nothing, OR Option 2: 10 RON as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 RON and the same 50-percent chance of receiving nothing, OR Option 2: 15 RON as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 15,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,What would you prefer? Option 1: A payment of 40 RON today OR Option 2: 41.2 RON in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 41.2,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,What would you prefer? Option 1: A payment of 40 RON today OR Option 2: 42.44 RON in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 42.44,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,Imagine someone did you a favor that cost them 2 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,2,Reciprocation 2,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,Imagine someone did you a favor that cost them 4 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 8 RON to return the favor.,Reciprocation 4,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,Imagine someone did you a favor that cost them 6 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,10 RON,Reciprocation 6,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,Imagine someone did you a favor that cost them 8 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,10 RON,Reciprocation 8,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,Imagine someone did you a favor that cost them 8 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,8,Reciprocation 8,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,Imagine someone did you a favor that cost them 10 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,15 RON,Reciprocation 10,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,Imagine someone did you a favor that cost them 12 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,15 RON,Reciprocation 12,37,female,Romania
4d9a15c6-b237-42cb-b519-979a68e13bd2,1fba97c1e73d54cebd22a18155b82dd1a70d58f65271488d549987781893c267,You unexpectedly received 400.0 RON. How much of this amount would you donate to a good cause? Please answer with a single number.,100.0,Donation 400.0,37,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 RON and the same 50-percent chance of receiving nothing, OR Option 2: 5 RON as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 RON and the same 50-percent chance of receiving nothing, OR Option 2: 10 RON as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 RON and the same 50-percent chance of receiving nothing, OR Option 2: 15 RON as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 15,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 RON and the same 50-percent chance of receiving nothing, OR Option 2: 20 RON as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 20,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,What would you prefer? Option 1: A payment of 40 RON today OR Option 2: 41.2 RON in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 41.2,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,What would you prefer? Option 1: A payment of 40 RON today OR Option 2: 42.44 RON in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 42.44,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,Imagine someone did you a favor that cost them 2 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,4 RON,Reciprocation 2,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,Imagine someone did you a favor that cost them 4 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,8 RON,Reciprocation 4,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,Imagine someone did you a favor that cost them 6 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,6 RON,Reciprocation 6,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,Imagine someone did you a favor that cost them 8 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 10 RON to return the favor.,Reciprocation 8,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,Imagine someone did you a favor that cost them 8 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,10 RON,Reciprocation 8,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,Imagine someone did you a favor that cost them 10 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,15 RON,Reciprocation 10,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,Imagine someone did you a favor that cost them 12 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,15 RON,Reciprocation 12,52,female,Romania
0ba3bf5a-4fc6-4ebf-829e-8102daa94903,059d08a1d85fde8163122c6fb7373759aabb3d572c84802e67fb22a75410793b,You unexpectedly received 400.0 RON. How much of this amount would you donate to a good cause? Please answer with a single number.,100,Donation 400.0,52,female,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks at a 7.,Willingness to take risk,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",6,Will do revenge,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,8,Good at math,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 RON and the same 50-percent chance of receiving nothing, OR Option 2: 5 RON as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 5,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,What would you prefer? Option 1: A payment of 40 RON today OR Option 2: 41.2 RON in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 41.2,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,What would you prefer? Option 1: A payment of 40 RON today OR Option 2: 42.44 RON in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 42.44,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,Imagine someone did you a favor that cost them 2 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,5 RON,Reciprocation 2,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,Imagine someone did you a favor that cost them 4 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 8 RON to return the favor.,Reciprocation 4,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,Imagine someone did you a favor that cost them 6 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,10 RON,Reciprocation 6,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,Imagine someone did you a favor that cost them 8 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,10 RON,Reciprocation 8,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,Imagine someone did you a favor that cost them 8 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,10 RON,Reciprocation 8,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,Imagine someone did you a favor that cost them 10 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,15 RON,Reciprocation 10,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,Imagine someone did you a favor that cost them 12 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,33,male,Romania
c248f363-02ad-4b99-b15c-b9a378051fcf,18e556265b3747a196d249f321c8d64076a9bd6fe7be46f5939bb725372d1149,You unexpectedly received 400.0 RON. How much of this amount would you donate to a good cause? Please answer with a single number.,100,Donation 400.0,33,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",6,Will do revenge,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 RON and the same 50-percent chance of receiving nothing, OR Option 2: 5 RON as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 5,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,What would you prefer? Option 1: A payment of 40 RON today OR Option 2: 41.2 RON in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 41.2,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,Imagine someone did you a favor that cost them 2 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,3 RON,Reciprocation 2,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,Imagine someone did you a favor that cost them 4 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,8 RON,Reciprocation 4,28,male,Romania
521179d5-aa49-4071-ac03-744f2ff528bf,4c43fd11fe6d869afe75ed03fb78d1f5538ddc960f765f350837c666fa8b94da,Imagine someone did you a favor that cost them 6 RON. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 12 RON to return the favor.,Reciprocation 6,28,male,Romania
