Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
be603fa0-c080-40a0-bc1c-d6e346310e58,4e3726c0de06338d5503220e436e59680ef0dfbd98a8816c553c123e72ff0678,What would you prefer? Option 1: A payment of 100 UAH today OR Option 2: 106.1 UAH in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 106.1,67,female,Ukraine
be603fa0-c080-40a0-bc1c-d6e346310e58,4e3726c0de06338d5503220e436e59680ef0dfbd98a8816c553c123e72ff0678,Imagine someone did you a favor that cost them 5 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,10 UAH,Reciprocation 5,67,female,Ukraine
be603fa0-c080-40a0-bc1c-d6e346310e58,4e3726c0de06338d5503220e436e59680ef0dfbd98a8816c553c123e72ff0678,Imagine someone did you a favor that cost them 10 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,15 UAH,Reciprocation 10,67,female,Ukraine
be603fa0-c080-40a0-bc1c-d6e346310e58,4e3726c0de06338d5503220e436e59680ef0dfbd98a8816c553c123e72ff0678,Imagine someone did you a favor that cost them 15 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20 UAH,Reciprocation 15,67,female,Ukraine
be603fa0-c080-40a0-bc1c-d6e346310e58,4e3726c0de06338d5503220e436e59680ef0dfbd98a8816c553c123e72ff0678,Imagine someone did you a favor that cost them 20 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,40,Reciprocation 20,67,female,Ukraine
be603fa0-c080-40a0-bc1c-d6e346310e58,4e3726c0de06338d5503220e436e59680ef0dfbd98a8816c553c123e72ff0678,Imagine someone did you a favor that cost them 20 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 20,67,female,Ukraine
be603fa0-c080-40a0-bc1c-d6e346310e58,4e3726c0de06338d5503220e436e59680ef0dfbd98a8816c553c123e72ff0678,Imagine someone did you a favor that cost them 25 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,50,Reciprocation 25,67,female,Ukraine
be603fa0-c080-40a0-bc1c-d6e346310e58,4e3726c0de06338d5503220e436e59680ef0dfbd98a8816c553c123e72ff0678,Imagine someone did you a favor that cost them 30 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 30,67,female,Ukraine
be603fa0-c080-40a0-bc1c-d6e346310e58,4e3726c0de06338d5503220e436e59680ef0dfbd98a8816c553c123e72ff0678,You unexpectedly received 1000.0 UAH. How much of this amount would you donate to a good cause? Please answer with a single number.,500,Donation 1000.0,67,female,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",9,Willingness to donate,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 UAH and the same 50-percent chance of receiving nothing, OR Option 2: 10 UAH as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,What would you prefer? Option 1: A payment of 100 UAH today OR Option 2: 103.0 UAH in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,What would you prefer? Option 1: A payment of 100 UAH today OR Option 2: 106.1 UAH in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,What would you prefer? Option 1: A payment of 100 UAH today OR Option 2: 109.2 UAH in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,What would you prefer? Option 1: A payment of 100 UAH today OR Option 2: 112.4 UAH in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 112.4,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,Imagine someone did you a favor that cost them 5 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,10 UAH,Reciprocation 5,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,Imagine someone did you a favor that cost them 10 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20 UAH,Reciprocation 10,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,Imagine someone did you a favor that cost them 15 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,Imagine someone did you a favor that cost them 20 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,Imagine someone did you a favor that cost them 20 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,Imagine someone did you a favor that cost them 25 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,30 UAH,Reciprocation 25,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,Imagine someone did you a favor that cost them 30 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 30,78,male,Ukraine
a1fe18e4-b69b-42a9-8700-00c19035ead6,d6ff400ea0e98562198cea798a398556f9d7fecacb46b8ff15ed32f834a010ff,You unexpectedly received 1000.0 UAH. How much of this amount would you donate to a good cause? Please answer with a single number.,500,Donation 1000.0,78,male,Ukraine
