Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
d117fc4c-a83c-4046-abbb-2a3764df1218,5f7bbb7be4293c420d38e4f8b1fba0dff9486f2d70e7115f0ad288b7f5dfb2e0,Imagine someone did you a favor that cost them 16 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 16,73,female,Moldova
d117fc4c-a83c-4046-abbb-2a3764df1218,5f7bbb7be4293c420d38e4f8b1fba0dff9486f2d70e7115f0ad288b7f5dfb2e0,Imagine someone did you a favor that cost them 16 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,20 MDL,Reciprocation 16,73,female,Moldova
d117fc4c-a83c-4046-abbb-2a3764df1218,5f7bbb7be4293c420d38e4f8b1fba0dff9486f2d70e7115f0ad288b7f5dfb2e0,Imagine someone did you a favor that cost them 20 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,73,female,Moldova
d117fc4c-a83c-4046-abbb-2a3764df1218,5f7bbb7be4293c420d38e4f8b1fba0dff9486f2d70e7115f0ad288b7f5dfb2e0,Imagine someone did you a favor that cost them 24 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 30 MDL to return the favor.,Reciprocation 24,73,female,Moldova
d117fc4c-a83c-4046-abbb-2a3764df1218,5f7bbb7be4293c420d38e4f8b1fba0dff9486f2d70e7115f0ad288b7f5dfb2e0,You unexpectedly received 800.0 MDL. How much of this amount would you donate to a good cause? Please answer with a single number.,200.0,Donation 800.0,73,female,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",6,Willingness to take risk,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",6,Will do revenge,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 MDL and the same 50-percent chance of receiving nothing, OR Option 2: 10 MDL as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 MDL and the same 50-percent chance of receiving nothing, OR Option 2: 20 MDL as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 20,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 MDL and the same 50-percent chance of receiving nothing, OR Option 2: 30 MDL as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 30,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,What would you prefer? Option 1: A payment of 100 MDL today OR Option 2: 103.0 MDL in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,What would you prefer? Option 1: A payment of 100 MDL today OR Option 2: 106.1 MDL in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 106.1,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,Imagine someone did you a favor that cost them 4 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,6 MDL,Reciprocation 4,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,Imagine someone did you a favor that cost them 8 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,10 MDL,Reciprocation 8,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,Imagine someone did you a favor that cost them 12 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,Imagine someone did you a favor that cost them 16 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,20 MDL,Reciprocation 16,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,Imagine someone did you a favor that cost them 16 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 16,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,Imagine someone did you a favor that cost them 20 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,Imagine someone did you a favor that cost them 24 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,30 MDL,Reciprocation 24,38,male,Moldova
12ab0e13-0aa7-467f-a926-507439805672,0b14797655d42575ee8f9fda5c70707cf48d1638d8616eb93f188e017ab42779,You unexpectedly received 800.0 MDL. How much of this amount would you donate to a good cause? Please answer with a single number.,200.0,Donation 800.0,38,male,Moldova
