Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 318.29999999999995 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 318.29999999999995,76,male,Kenya
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 327.6 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 327.6,76,male,Kenya
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 337.20000000000005 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 337.20000000000005,76,male,Kenya
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,Imagine someone did you a favor that cost them 15 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 30 KES to return the favor.,Reciprocation 15,76,male,Kenya
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,Imagine someone did you a favor that cost them 30 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,50 KES,Reciprocation 30,76,male,Kenya
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,Imagine someone did you a favor that cost them 45 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 100 KES to return the favor.,Reciprocation 45,76,male,Kenya
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,Imagine someone did you a favor that cost them 60 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 80 KES to return the favor.,Reciprocation 60,76,male,Kenya
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,Imagine someone did you a favor that cost them 60 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 80 KES to return the favor.,Reciprocation 60,76,male,Kenya
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,Imagine someone did you a favor that cost them 75 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 100 KES to return the favor.,Reciprocation 75,76,male,Kenya
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,Imagine someone did you a favor that cost them 90 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,90,Reciprocation 90,76,male,Kenya
171bab0b-76c0-4b75-8a4a-44f44d5f9049,9647b55143611d26879bd7fa9a66a6457898158899885c0f8ca2423e4511119a,You unexpectedly received 3200.0 KES. How much of this amount would you donate to a good cause? Please answer with a single number.,1000,Donation 3200.0,76,male,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would say a 5.,Willingness to take risk,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,6,Good at math,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 900 KES and the same 50-percent chance of receiving nothing, OR Option 2: 30 KES as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 30,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 900 KES and the same 50-percent chance of receiving nothing, OR Option 2: 60 KES as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 60,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 309.0 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 309.0,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 318.29999999999995 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 318.29999999999995,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 327.6 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 327.6,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,What would you prefer? Option 1: A payment of 300 KES today OR Option 2: 337.20000000000005 KES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 337.20000000000005,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,Imagine someone did you a favor that cost them 15 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,15 KES,Reciprocation 15,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,Imagine someone did you a favor that cost them 30 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 50 KES to return the favor.,Reciprocation 30,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,Imagine someone did you a favor that cost them 45 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,50 KES.,Reciprocation 45,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,Imagine someone did you a favor that cost them 60 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,60 KES,Reciprocation 60,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,Imagine someone did you a favor that cost them 60 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,80 KES,Reciprocation 60,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,Imagine someone did you a favor that cost them 75 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,150 KES,Reciprocation 75,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,Imagine someone did you a favor that cost them 90 KES. How much would you be willing to spend to return the favor? Please answer with a single number.,90,Reciprocation 90,56,female,Kenya
bd30118f-7f26-41f1-a07b-ce902cc889ed,f3fa7a14fa9c591181426742fc71f1cd7d7a5677cd433b690364eb4fd8150470,You unexpectedly received 3200.0 KES. How much of this amount would you donate to a good cause? Please answer with a single number.,800.0,Donation 3200.0,56,female,Kenya
