Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
cc26b374-008d-4979-a7a6-d1c7c3dfb79b,9a10e21b77e40f27cc5a787695b7a3a5e9e8e4e16623e312d63c0fb3bac54a90,Imagine someone did you a favor that cost them 9 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,10 GTQ,Reciprocation 9,70,male,Guatemala
cc26b374-008d-4979-a7a6-d1c7c3dfb79b,9a10e21b77e40f27cc5a787695b7a3a5e9e8e4e16623e312d63c0fb3bac54a90,Imagine someone did you a favor that cost them 12 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,70,male,Guatemala
cc26b374-008d-4979-a7a6-d1c7c3dfb79b,9a10e21b77e40f27cc5a787695b7a3a5e9e8e4e16623e312d63c0fb3bac54a90,Imagine someone did you a favor that cost them 12 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,70,male,Guatemala
cc26b374-008d-4979-a7a6-d1c7c3dfb79b,9a10e21b77e40f27cc5a787695b7a3a5e9e8e4e16623e312d63c0fb3bac54a90,Imagine someone did you a favor that cost them 15 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,70,male,Guatemala
cc26b374-008d-4979-a7a6-d1c7c3dfb79b,9a10e21b77e40f27cc5a787695b7a3a5e9e8e4e16623e312d63c0fb3bac54a90,Imagine someone did you a favor that cost them 18 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 18 GTQ to return the favor.,Reciprocation 18,70,male,Guatemala
cc26b374-008d-4979-a7a6-d1c7c3dfb79b,9a10e21b77e40f27cc5a787695b7a3a5e9e8e4e16623e312d63c0fb3bac54a90,You unexpectedly received 600.0 GTQ. How much of this amount would you donate to a good cause? Please answer with a single number.,200.0,Donation 600.0,70,male,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",400,Donate,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 GTQ and the same 50-percent chance of receiving nothing, OR Option 2: 5 GTQ as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 GTQ and the same 50-percent chance of receiving nothing, OR Option 2: 10 GTQ as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,What would you prefer? Option 1: A payment of 100 GTQ today OR Option 2: 103.0 GTQ in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,What would you prefer? Option 1: A payment of 100 GTQ today OR Option 2: 106.1 GTQ in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,What would you prefer? Option 1: A payment of 100 GTQ today OR Option 2: 109.2 GTQ in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,What would you prefer? Option 1: A payment of 100 GTQ today OR Option 2: 112.4 GTQ in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 112.4,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,What would you prefer? Option 1: A payment of 100 GTQ today OR Option 2: 115.6 GTQ in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 115.6,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,What would you prefer? Option 1: A payment of 100 GTQ today OR Option 2: 118.8 GTQ in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 118.8,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,Imagine someone did you a favor that cost them 3 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,5 GTQ,Reciprocation 3,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,Imagine someone did you a favor that cost them 6 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,6,Reciprocation 6,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,Imagine someone did you a favor that cost them 9 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,9,Reciprocation 9,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,Imagine someone did you a favor that cost them 12 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,Imagine someone did you a favor that cost them 12 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,Imagine someone did you a favor that cost them 15 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,Imagine someone did you a favor that cost them 18 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,18,Reciprocation 18,33,female,Guatemala
cd9ceda2-13a4-40b7-a5c8-d7c770aeefc2,5a94797a18eef3790582ee25025c6190ac83571409ea816f4f9e251d80ef4684,You unexpectedly received 600.0 GTQ. How much of this amount would you donate to a good cause? Please answer with a single number.,300.0,Donation 600.0,33,female,Guatemala
