Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
4f789051-4d66-4468-ac5a-e878c6ec7e99,567b66c152cf944287a6912d21f3408824a73369e3862c987efa77060173bbfa,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 5.,Willingness to take risk,66,male,Lithuania
4f789051-4d66-4468-ac5a-e878c6ec7e99,567b66c152cf944287a6912d21f3408824a73369e3862c987efa77060173bbfa,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,66,male,Lithuania
4f789051-4d66-4468-ac5a-e878c6ec7e99,567b66c152cf944287a6912d21f3408824a73369e3862c987efa77060173bbfa,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,66,male,Lithuania
4f789051-4d66-4468-ac5a-e878c6ec7e99,567b66c152cf944287a6912d21f3408824a73369e3862c987efa77060173bbfa,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,66,male,Lithuania
4f789051-4d66-4468-ac5a-e878c6ec7e99,567b66c152cf944287a6912d21f3408824a73369e3862c987efa77060173bbfa,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,66,male,Lithuania
4f789051-4d66-4468-ac5a-e878c6ec7e99,567b66c152cf944287a6912d21f3408824a73369e3862c987efa77060173bbfa,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,66,male,Lithuania
4f789051-4d66-4468-ac5a-e878c6ec7e99,567b66c152cf944287a6912d21f3408824a73369e3862c987efa77060173bbfa,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,66,male,Lithuania
4f789051-4d66-4468-ac5a-e878c6ec7e99,567b66c152cf944287a6912d21f3408824a73369e3862c987efa77060173bbfa,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,66,male,Lithuania
4f789051-4d66-4468-ac5a-e878c6ec7e99,567b66c152cf944287a6912d21f3408824a73369e3862c987efa77060173bbfa,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,66,male,Lithuania
4f789051-4d66-4468-ac5a-e878c6ec7e99,567b66c152cf944287a6912d21f3408824a73369e3862c987efa77060173bbfa,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,66,male,Lithuania
