Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
79d59d35-75d4-4bb3-9a7b-406c4dd2da69,44ded8f6e42bd0ae06701508c0fbdc4e9e3432ca0c99d1a954dfe68c6afdf3e0,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,37,female,Portugal
79d59d35-75d4-4bb3-9a7b-406c4dd2da69,44ded8f6e42bd0ae06701508c0fbdc4e9e3432ca0c99d1a954dfe68c6afdf3e0,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to delay consumption,37,female,Portugal
79d59d35-75d4-4bb3-9a7b-406c4dd2da69,44ded8f6e42bd0ae06701508c0fbdc4e9e3432ca0c99d1a954dfe68c6afdf3e0,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,37,female,Portugal
79d59d35-75d4-4bb3-9a7b-406c4dd2da69,44ded8f6e42bd0ae06701508c0fbdc4e9e3432ca0c99d1a954dfe68c6afdf3e0,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,37,female,Portugal
79d59d35-75d4-4bb3-9a7b-406c4dd2da69,44ded8f6e42bd0ae06701508c0fbdc4e9e3432ca0c99d1a954dfe68c6afdf3e0,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,37,female,Portugal
79d59d35-75d4-4bb3-9a7b-406c4dd2da69,44ded8f6e42bd0ae06701508c0fbdc4e9e3432ca0c99d1a954dfe68c6afdf3e0,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,37,female,Portugal
79d59d35-75d4-4bb3-9a7b-406c4dd2da69,44ded8f6e42bd0ae06701508c0fbdc4e9e3432ca0c99d1a954dfe68c6afdf3e0,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,37,female,Portugal
79d59d35-75d4-4bb3-9a7b-406c4dd2da69,44ded8f6e42bd0ae06701508c0fbdc4e9e3432ca0c99d1a954dfe68c6afdf3e0,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,37,female,Portugal
79d59d35-75d4-4bb3-9a7b-406c4dd2da69,44ded8f6e42bd0ae06701508c0fbdc4e9e3432ca0c99d1a954dfe68c6afdf3e0,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,37,female,Portugal
79d59d35-75d4-4bb3-9a7b-406c4dd2da69,44ded8f6e42bd0ae06701508c0fbdc4e9e3432ca0c99d1a954dfe68c6afdf3e0,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,37,female,Portugal
