Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
91b6089d-ed41-412f-9058-4bde00a5b146,b9e6cabf48071d8aa5294b7f49b0476b6d0c9d53f542945240d4064230b83121,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,52,female,United States
91b6089d-ed41-412f-9058-4bde00a5b146,b9e6cabf48071d8aa5294b7f49b0476b6d0c9d53f542945240d4064230b83121,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 450 USD and the same 50-percent chance of receiving nothing, OR Option 2: 15 USD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 15,52,female,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 7.,Willingness to take risk,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to delay consumption,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 450 USD and the same 50-percent chance of receiving nothing, OR Option 2: 15 USD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 15,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 450 USD and the same 50-percent chance of receiving nothing, OR Option 2: 30 USD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 30,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 450 USD and the same 50-percent chance of receiving nothing, OR Option 2: 45 USD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 45,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 450 USD and the same 50-percent chance of receiving nothing, OR Option 2: 60 USD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 60,25,male,United States
c198120a-eeba-4fef-b715-205620e76c5d,bc9466990a82f369c882aae2ad56686f4e0430733254a5811fb2762230adebfa,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 450 USD and the same 50-percent chance of receiving nothing, OR Option 2: 75 USD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 75,25,male,United States
