Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 BOB and the same 50-percent chance of receiving nothing, OR Option 2: 5 BOB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 5,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,What would you prefer? Option 1: A payment of 100 BOB today OR Option 2: 103.0 BOB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,What would you prefer? Option 1: A payment of 100 BOB today OR Option 2: 106.1 BOB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 106.1,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,Imagine someone did you a favor that cost them 3 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,3 BOB,Reciprocation 3,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,Imagine someone did you a favor that cost them 6 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,6,Reciprocation 6,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,Imagine someone did you a favor that cost them 9 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,9 BOB,Reciprocation 9,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,Imagine someone did you a favor that cost them 12 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,15 BOB,Reciprocation 12,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,Imagine someone did you a favor that cost them 12 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,12 BOB,Reciprocation 12,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,Imagine someone did you a favor that cost them 15 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,Imagine someone did you a favor that cost them 18 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,18,Reciprocation 18,72,male,Bolivia
e0947a05-c235-4327-a500-9692a7c365ad,244531bf1cd290266511a7005e1c579fb8c96fb4fbeed9cafeabc2aba1168872,You unexpectedly received 600.0000000000001 BOB. How much of this amount would you donate to a good cause? Please answer with a single number.,300000 BOB,Donation 600.0000000000001,72,male,Bolivia
