Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EGP and the same 50-percent chance of receiving nothing, OR Option 2: 5 EGP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EGP and the same 50-percent chance of receiving nothing, OR Option 2: 10 EGP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EGP and the same 50-percent chance of receiving nothing, OR Option 2: 15 EGP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 15,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EGP and the same 50-percent chance of receiving nothing, OR Option 2: 20 EGP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 20,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EGP and the same 50-percent chance of receiving nothing, OR Option 2: 25 EGP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 25,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EGP and the same 50-percent chance of receiving nothing, OR Option 2: 30 EGP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 30,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,What would you prefer? Option 1: A payment of 30 EGP today OR Option 2: 30.900000000000002 EGP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 30.900000000000002,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,What would you prefer? Option 1: A payment of 30 EGP today OR Option 2: 31.83 EGP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 31.83,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,Imagine someone did you a favor that cost them 1 EGP. How much would you be willing to spend to return the favor? Please answer with a single number.,3 EGP,Reciprocation 1,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,Imagine someone did you a favor that cost them 2 EGP. How much would you be willing to spend to return the favor? Please answer with a single number.,3 EGP,Reciprocation 2,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,Imagine someone did you a favor that cost them 3 EGP. How much would you be willing to spend to return the favor? Please answer with a single number.,3 EGP,Reciprocation 3,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,Imagine someone did you a favor that cost them 4 EGP. How much would you be willing to spend to return the favor? Please answer with a single number.,4 EGP,Reciprocation 4,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,Imagine someone did you a favor that cost them 4 EGP. How much would you be willing to spend to return the favor? Please answer with a single number.,4,Reciprocation 4,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,Imagine someone did you a favor that cost them 5 EGP. How much would you be willing to spend to return the favor? Please answer with a single number.,10 EGP,Reciprocation 5,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,Imagine someone did you a favor that cost them 6 EGP. How much would you be willing to spend to return the favor? Please answer with a single number.,6,Reciprocation 6,19,male,Egypt
dd4824d8-7df7-4081-85f6-34239fee5592,42cc80b02d50543bd2654ced060358ccd450b5b6de776051fd328aa6791c677a,You unexpectedly received 300.0 EGP. How much of this amount would you donate to a good cause? Please answer with a single number.,100.0,Donation 300.0,19,male,Egypt
be073693-e395-4696-bc14-78ee6776e641,ef2947a69df2f8e0b610db1e355acbab50ac36423485a3bad8aa196eca436a74,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,60,female,Egypt
be073693-e395-4696-bc14-78ee6776e641,ef2947a69df2f8e0b610db1e355acbab50ac36423485a3bad8aa196eca436a74,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,60,female,Egypt
be073693-e395-4696-bc14-78ee6776e641,ef2947a69df2f8e0b610db1e355acbab50ac36423485a3bad8aa196eca436a74,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,60,female,Egypt
