Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 HUF and the same 50-percent chance of receiving nothing, OR Option 2: 600 HUF as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 600,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 HUF and the same 50-percent chance of receiving nothing, OR Option 2: 1200 HUF as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 1200,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6180.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 6180.0,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6370.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 6370.0,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,Imagine someone did you a favor that cost them 300 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,300 HUF,Reciprocation 300,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,Imagine someone did you a favor that cost them 600 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600,Reciprocation 600,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,Imagine someone did you a favor that cost them 900 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,500 HUF,Reciprocation 900,22,female,Hungary
50c92004-1cbb-418b-abac-4d3b06237857,e2b9fec66ffcbe5677591857a61fc93244f9782a2dcebeac90dfa88abb430c72,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1200,Reciprocation 1200,22,female,Hungary
