Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
28d7e2c1-62d9-4c4a-89ac-b618abf61547,c0304e10270c2960f216d3b738437603bb622b969acb467cb7ea6cbd119dac17,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 106.1 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 106.1,49,female,Nicaragua
28d7e2c1-62d9-4c4a-89ac-b618abf61547,c0304e10270c2960f216d3b738437603bb622b969acb467cb7ea6cbd119dac17,Imagine someone did you a favor that cost them 5 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,5,Reciprocation 5,49,female,Nicaragua
28d7e2c1-62d9-4c4a-89ac-b618abf61547,c0304e10270c2960f216d3b738437603bb622b969acb467cb7ea6cbd119dac17,Imagine someone did you a favor that cost them 10 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 10,49,female,Nicaragua
28d7e2c1-62d9-4c4a-89ac-b618abf61547,c0304e10270c2960f216d3b738437603bb622b969acb467cb7ea6cbd119dac17,Imagine someone did you a favor that cost them 15 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 15,49,female,Nicaragua
28d7e2c1-62d9-4c4a-89ac-b618abf61547,c0304e10270c2960f216d3b738437603bb622b969acb467cb7ea6cbd119dac17,Imagine someone did you a favor that cost them 20 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 20,49,female,Nicaragua
28d7e2c1-62d9-4c4a-89ac-b618abf61547,c0304e10270c2960f216d3b738437603bb622b969acb467cb7ea6cbd119dac17,Imagine someone did you a favor that cost them 20 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,49,female,Nicaragua
28d7e2c1-62d9-4c4a-89ac-b618abf61547,c0304e10270c2960f216d3b738437603bb622b969acb467cb7ea6cbd119dac17,Imagine someone did you a favor that cost them 25 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,25,Reciprocation 25,49,female,Nicaragua
28d7e2c1-62d9-4c4a-89ac-b618abf61547,c0304e10270c2960f216d3b738437603bb622b969acb467cb7ea6cbd119dac17,Imagine someone did you a favor that cost them 30 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 30,49,female,Nicaragua
28d7e2c1-62d9-4c4a-89ac-b618abf61547,c0304e10270c2960f216d3b738437603bb622b969acb467cb7ea6cbd119dac17,You unexpectedly received 1000.0 NIO. How much of this amount would you donate to a good cause? Please answer with a single number.,200.0,Donation 1000.0,49,female,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,6,Good at math,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 NIO and the same 50-percent chance of receiving nothing, OR Option 2: 10 NIO as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 103.0 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 106.1 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 109.2 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 112.4 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 112.4,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 115.6 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 115.6,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,Imagine someone did you a favor that cost them 5 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,5 NIO,Reciprocation 5,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,Imagine someone did you a favor that cost them 10 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,10 NIO,Reciprocation 10,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,Imagine someone did you a favor that cost them 15 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,15 NIO,Reciprocation 15,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,Imagine someone did you a favor that cost them 20 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,40 NIO,Reciprocation 20,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,Imagine someone did you a favor that cost them 20 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,Imagine someone did you a favor that cost them 25 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,25 NIO,Reciprocation 25,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,Imagine someone did you a favor that cost them 30 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 30,79,male,Nicaragua
bc8115de-7087-4f7d-aa77-f522f9c08a52,e1b1f7cde3c3b2df8415cab63e9c39e380650033dde8ed66fb9bf82941697e4e,You unexpectedly received 1000.0 NIO. How much of this amount would you donate to a good cause? Please answer with a single number.,500.0,Donation 1000.0,79,male,Nicaragua
