Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 BAM and the same 50-percent chance of receiving nothing, OR Option 2: 5 BAM as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 BAM and the same 50-percent chance of receiving nothing, OR Option 2: 10 BAM as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 BAM and the same 50-percent chance of receiving nothing, OR Option 2: 15 BAM as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 15,39,male,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,46,female,Bosnia
587c9a28-f6aa-40ea-b4a7-5adf22c8b547,0c9f21eaefe9390ec1a05a4e06e61986f8075abea63bbe216d274edb789def84,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 BAM and the same 50-percent chance of receiving nothing, OR Option 2: 5 BAM as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 5,46,female,Bosnia
