Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 636.5999999999999 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 636.5999999999999,53,female,Thailand
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 655.2 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 655.2,53,female,Thailand
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 674.4000000000001 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 674.4000000000001,53,female,Thailand
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,Imagine someone did you a favor that cost them 30 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,50 THB,Reciprocation 30,53,female,Thailand
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,Imagine someone did you a favor that cost them 60 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,80,Reciprocation 60,53,female,Thailand
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,Imagine someone did you a favor that cost them 90 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,90,Reciprocation 90,53,female,Thailand
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,Imagine someone did you a favor that cost them 120 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,100 THB,Reciprocation 120,53,female,Thailand
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,Imagine someone did you a favor that cost them 120 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 120 THB to return the favor.,Reciprocation 120,53,female,Thailand
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,Imagine someone did you a favor that cost them 150 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,150,Reciprocation 150,53,female,Thailand
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,Imagine someone did you a favor that cost them 180 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,180,Reciprocation 180,53,female,Thailand
f37eaf84-88fa-416a-8c79-57197fe45be3,228eb829ce1f455d8e6f60380b1f7d5382b207557eb5c072eae7af2d779cb55d,You unexpectedly received 6000.0 THB. How much of this amount would you donate to a good cause? Please answer with a single number.,1000.0,Donation 6000.0,53,female,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 60 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 60,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 120 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 120,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 180 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 180,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 618.0 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 618.0,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 636.5999999999999 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 636.5999999999999,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,Imagine someone did you a favor that cost them 30 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,50,Reciprocation 30,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,Imagine someone did you a favor that cost them 60 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,80,Reciprocation 60,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,Imagine someone did you a favor that cost them 90 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 90,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,Imagine someone did you a favor that cost them 120 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,120,Reciprocation 120,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,Imagine someone did you a favor that cost them 120 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,150,Reciprocation 120,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,Imagine someone did you a favor that cost them 150 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,150,Reciprocation 150,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,Imagine someone did you a favor that cost them 180 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,200,Reciprocation 180,45,male,Thailand
61af2220-b50e-4f0c-bb2b-85b8cac76a5e,ccc6a76b1a73df6ddbe9d72c5f634474d7c708f48cd9eb6220fc48c56a2de814,You unexpectedly received 6000.0 THB. How much of this amount would you donate to a good cause? Please answer with a single number.,1000.0,Donation 6000.0,45,male,Thailand
