Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,Imagine someone did you a favor that cost them 15 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,Imagine someone did you a favor that cost them 18 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,18,Reciprocation 18,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,You unexpectedly received 600.0000000256491 VES. How much of this amount would you donate to a good cause? Please answer with a single number.,200000 VES,Donation 600.0000000256491,43,male,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",10,Will return favor,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 VES and the same 50-percent chance of receiving nothing, OR Option 2: 5 VES as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 5,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,What would you prefer? Option 1: A payment of 100 VES today OR Option 2: 103.0 VES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,What would you prefer? Option 1: A payment of 100 VES today OR Option 2: 106.1 VES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,What would you prefer? Option 1: A payment of 100 VES today OR Option 2: 109.2 VES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,What would you prefer? Option 1: A payment of 100 VES today OR Option 2: 112.4 VES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 112.4,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,Imagine someone did you a favor that cost them 3 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,3 VES,Reciprocation 3,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,Imagine someone did you a favor that cost them 6 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,6,Reciprocation 6,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,Imagine someone did you a favor that cost them 9 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,9,Reciprocation 9,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,Imagine someone did you a favor that cost them 12 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 12,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,Imagine someone did you a favor that cost them 12 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,Imagine someone did you a favor that cost them 15 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,15 VES,Reciprocation 15,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,Imagine someone did you a favor that cost them 18 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,18,Reciprocation 18,69,female,Venezuela
3e2aac82-9086-47ef-aa09-afa5988e03d0,9595df6124f1231151bcd1775557c1e3c95bb76f11428d66ad29b07227bb7da1,You unexpectedly received 600.0000000256491 VES. How much of this amount would you donate to a good cause? Please answer with a single number.,500000.0,Donation 600.0000000256491,69,female,Venezuela
