Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,3,People have best intentions,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",800,Donate,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 5 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 41.2 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 41.2,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 42.44 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 42.44,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 43.68000000000001 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 43.68000000000001,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 44.96000000000001 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 44.96000000000001,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 46.239999999999995 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 46.239999999999995,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 47.519999999999996 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 47.519999999999996,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 48.839999999999996 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 48.839999999999996,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,What would you prefer? Option 1: A payment of 40 EUR today OR Option 2: 50.16 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 50.16,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,Imagine someone did you a favor that cost them 2 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,4,Reciprocation 2,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,Imagine someone did you a favor that cost them 4 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,6,Reciprocation 4,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,Imagine someone did you a favor that cost them 6 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,6,Reciprocation 6,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,Imagine someone did you a favor that cost them 8 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,8,Reciprocation 8,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,Imagine someone did you a favor that cost them 8 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,8,Reciprocation 8,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 10,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 12,57,male,Portugal
38e9c027-90f7-4528-83d0-2e3a974b2474,1270d9cf31610e44149a11db4e4b28f0497f1c9fb1157b1690f0bccbaba92954,You unexpectedly received 400.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,100.0,Donation 400.0,57,male,Portugal
