Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",7,Will do revenge,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 NIO and the same 50-percent chance of receiving nothing, OR Option 2: 10 NIO as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 103.0 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 106.1 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 109.2 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 112.4 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 112.4,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 115.6 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 115.6,41,male,Nicaragua
b23171c8-397b-4ca2-8ceb-e1921bb62bc5,f1832b9bff80ddc7a88d5f1b45dc43b61a13d14ce6bc260621d568cea78ac62f,Imagine someone did you a favor that cost them 5 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,10 NIO,Reciprocation 5,41,male,Nicaragua
