Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
1c73eeec-d6ca-42b8-8ca7-cb4bdd8ffa9c,82f24916d58f2db10563e12bf9d1917b90812adebfcfe84c6bdf07003f5ca5eb,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 BWP and the same 50-percent chance of receiving nothing, OR Option 2: 10 BWP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,52,male,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 7.,Willingness to take risk,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",I would donate 400.,Donate,33,female,Botswana
40be0f2e-1ba7-4a55-9041-6910d45978b2,087f1b1359b303dc3402c56557ed3fcb348bb34da943e6d4022de2dbf376e566,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 BWP and the same 50-percent chance of receiving nothing, OR Option 2: 10 BWP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,33,female,Botswana
