Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 UAH and the same 50-percent chance of receiving nothing, OR Option 2: 10 UAH as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 UAH and the same 50-percent chance of receiving nothing, OR Option 2: 20 UAH as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 20,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 UAH and the same 50-percent chance of receiving nothing, OR Option 2: 30 UAH as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 30,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 UAH and the same 50-percent chance of receiving nothing, OR Option 2: 40 UAH as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 40,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,What would you prefer? Option 1: A payment of 100 UAH today OR Option 2: 103.0 UAH in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,What would you prefer? Option 1: A payment of 100 UAH today OR Option 2: 106.1 UAH in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 106.1,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,Imagine someone did you a favor that cost them 5 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,10 UAH,Reciprocation 5,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,Imagine someone did you a favor that cost them 10 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,15 UAH,Reciprocation 10,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,Imagine someone did you a favor that cost them 15 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,Imagine someone did you a favor that cost them 20 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,Imagine someone did you a favor that cost them 20 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20 UAH,Reciprocation 20,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,Imagine someone did you a favor that cost them 25 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,25,Reciprocation 25,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,Imagine someone did you a favor that cost them 30 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 30,80,male,Ukraine
d224a9c2-1e67-47c2-aa23-1c44f68e064f,d53b66376f83987c184a0eaa0ab8c819213e1ea16ac62bc60bbb2f4c49e096ff,You unexpectedly received 1000.0 UAH. How much of this amount would you donate to a good cause? Please answer with a single number.,500,Donation 1000.0,80,male,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 UAH and the same 50-percent chance of receiving nothing, OR Option 2: 10 UAH as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,What would you prefer? Option 1: A payment of 100 UAH today OR Option 2: 103.0 UAH in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 103.0,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,Imagine someone did you a favor that cost them 5 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20 UAH,Reciprocation 5,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,Imagine someone did you a favor that cost them 10 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20 UAH,Reciprocation 10,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,Imagine someone did you a favor that cost them 15 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,Imagine someone did you a favor that cost them 20 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,Imagine someone did you a favor that cost them 20 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,Imagine someone did you a favor that cost them 25 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,25,Reciprocation 25,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,Imagine someone did you a favor that cost them 30 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 40 UAH to return the favor.,Reciprocation 30,53,female,Ukraine
c6716e93-cf6e-47a0-afa7-d620098d8d7b,defe0560190420dfe8a61d5902d24b9de986f41906535034ef9467916ebffc47,You unexpectedly received 1000.0 UAH. How much of this amount would you donate to a good cause? Please answer with a single number.,500,Donation 1000.0,53,female,Ukraine
